level	tr	yomi	sen
	testimonial=感謝のしるし		I would like to give you a testimonial for your efforts.
	conductor=車掌		The conductor is checking a passenger's ticket.
	deed=行動		There is a contradiction between his words and deeds.
	canteen=水筒		The boy is drinking from a canteen.
	consortium=共同事業体		A consortium of four construction companies built the bridge.
	plaque=記念額		Several plaques are installed on the wall.
	alteration=変更・手直し		The house needs a lot of alteration.
	scrutiny=綿密な調査、Capitol Hill=米国議会		The NASA budget will come under scrutiny on Capitol Hill.
	scrutinize=綿密に調べる		Police scrutinized the crime scene.
	subordinate=部下		Subordinates must obey supervisors.
	refer the dispute to arbitration=紛争を仲裁してもらう		The two companies have agreed to refer the dispute to arbitration.
	predicament=窮地		Many companies are in financial predicament.
	at stake=危機に瀕して		The company's survival is at stake.
	on the verge of =の寸前で		The company is on the verge of bankruptcy.
	annuity=年金		Under this form of payment, you will receive an annuity of $5000 each year for the rest of your life.
	hemisphere=半球		About 90 percent of the world's population is concentrated in the northern hemisphere.
	zeal=熱意		The prime minister showed great zeal for addressing global warming.
	outlay=支出		With any business there is an initial outlay to get started.
	proponent=支持者		She is one of the leading proponents of early childhood education.
	upheaval=大変動		Many nations experienced political upheaval and revolution in the 19th and 20th centuries.
	crease=しわ		To remove creases from velvet, hang it in a steamy bathroom.
	grandeur=雄大さ		I was overwhelmed by the grandeur of the Rocky Mountains.
	heredity=遺伝		Heredity is the most common factor in hair loss.
	prospectus=案内書		Please read the prospectus carefully before you invest.
	pundit=評論家		He is one of the most influential political pundits.
	regime=政権		Saddam Hussein's regime was overthrawn by US forces.
	rubble=がれき		Rescue workers searched the rubble for survivors.
	saturation=飽和・過剰供給		The mobile phone market has almost reached saturation.
	abolish=廃止される		Slavery was abolished in the US in 1865.
	exert=行使する		The US exerted pressure on Japan to open the home market to US products.
	offset=相殺された		The decline in domestic production was offset by increase in overseas production.
	underline=強調する		The economist underlined the seriousness of the global recession.
	undermine=徐々に衰えさせる		Bank nationalization would undermine confidence in the financial system.
	dwindle=徐々にに減少する		CD sales have dwindled since downloading music became popular.
	abate=やわらぐ、emerge=現れる		The rain abated and the sun emerged.
	refute=誤りを証明する		I tried to refute his claims.
	deplete=激減させる		The company's assets have been depleted.
	relinquish=放棄する		He was forced to relinquish his position as CEO due to illness.
	depose=免職する		The CEO was deposed due to poor leadership.
	disperse=分散させる		Police dispersed the protesters with tear gas.
	concede=正しいとしぶしぶ認める		The president conceded that the war in Iraq is not going as well as he had hoped.
	enact=制定する		The city enacted an ordinance that bans the disposal of recyclable items.
	deem=みなされる		As soon as the area is deemed safe, residents can return home.
	induce=引き起こす		This drug can induce side effects including nausea and dizziness.
	procure=手に入れる		I have managed to procure tickets to the concert.
	confer=話し合う		He conferred with his attorney about the case.
	curtail=削減する		The government should not curtail spending on health care.
	denounce=非難する、blasphemous=冒とく的な		Many religious leaders denounced the movie as blasphemous.
	embezzle=横領する		He was charged with embezzling $20,000 from his employer over a three year period.
	deduce=推定する		Scientists deduce that water once flowed on the surface of Mars.
	disciple=弟子		The Last Supper depicts Christ and his 12 disciples.
	disseminate=広める		The Internet is the best medium to gather and disseminate information.
	veto=拒否する、condemn=非難する		The US vetoed a UN Security Council resolution condemning Israel's attacks in Gaza.
	abound=たくさんある		Restaurants and shops abound in the area.
	ameliorate=改善する		The union has requested management to ameliorate working conditions.
	dispell=一掃する		The minister dispelled the rumor of his resignation.
	evoke=呼び起こす		The photo evoked memories of my childhood.
	exemplify=よい例となる		The painting exemplifies the characteristics of impressionism.
	flounder=低迷する		The domestic car market is floundering due to lack of demand.
	doldrums=停滞状態		The housing market remains in the doldrums.
	stagnant=停滞した		Our sales have been stagnant for the past six months.
	standstill=停止		Heavy snow brought traffic to a standstill.
	hatch=企てる		Three men were arrested for hatching a plot to kidnap the son of a wealthy banker.
	fierce=激しい		There is fierce competition among international companies to increase market share.
	stenuous=懸命な		She made a strenuous effort to achieve her goal.
	accommodating=親切な		He is accommodating and easy to work with.
	aspiring=野心のある		Los Angeles is full of aspiring actors.
	definitive=authorative=最も信頼できる		This is the definitive biography of Thomas Jefferson.
	inaugural=最初の		The orchestra's inaugural concert will be held this Friday.
	pivotal=中心的な		He played a pivotal role in the negotiations.
	unrivaled=並ぶもののない		She was unrivaled as a ballet dancer at that time.
	preceding=さきの		The population growth in the region was 3.7 percent in the preceding decade.
	bilateral=二国間の		The US and Singapore signed a bilateral free trade agreement in 2003.
	brisk=活況の		When the economy is brisk, everyone feels confident about his or her prospects for the future.
	preparatory=準備の・予備の		Meaningful progress has been made to narrow differences during preparatory meetings.
	provisional=暫定的な・仮の		We regret that we do not accept provisional bookings.
	rational=合理的な		All important decisions must be made through rational arguments.
	prevail=広くいきわたっている、勝つ		Fashion is a prevailing style of dress, hair, and so on.
	prevail in=広がっている		A pessimistic mood prevails in the stock market.
	rigorous=厳格な		Our products are tested according to rigorous safety standards.
	cite=表彰する、exemplary=模範的な		She was cited for her exemplary teaching skill.
	impassable=通行不能		The road is impassable due to flooding.
	invaluable=非常に貴重な		I gained a lot of invaluable experience during my internship at the company.
	cacti, cactus=さぼてん		Cacti are easy to grow with minimal care.
	unwavering=ゆるぎない		I appreciate your unwavering support.
	sparingly=ひかえめに		Use salt sparingly when cooking.
	unanimously=満場一致で		The proposal was approved unanimously.
	abruptly=突然に		Her contract was abruptly terminated.
	profoundly=深く		The travel industry was profoundly affected by the terrorist attacks.
	rule out=除外・拒否する、resumption=再開		Syria has ruled out the resumption of peace talks with Israel.
	turn around=好転させる		The new CEO turned the company around in a year.
	bargain with=交渉する		Unions bargained with employers for regular wage increases.
UK	go in for=参加する=enter		Are you planning to go in for the competition?
	pull together=協力する		We must all pull together to get through this economic crisis.
	culminate in=ついに～となる		The Watergate scandal culminated in the resignation of President Richard Nixon.
	notify of=知らせる		Employees were notified of the layoffs via e-mail.
	prop up against=もたせかける		The bicycle is propped up against a fence.
	dispense=分配する		The volunteers dispensed food and clothing to the disaster victims.
	derive from=～から～を得る		I derive great satisfaction from my work.
	reprimand for=しかる		Her boss reprimanded her for arriving at work late.
	tacit=暗黙の		I interpreted his silence as tacit approval.
	levy=課す		Personal income tax is levied on income earned between January 1 and December 31.
	adorn with=飾る		The Christmas tree was adorned with many ornaments.
	earmark=とっておく		Approximately 6 percent of GDP will be earmarked for education.
	commensurate with=ふさわしい		Salary is commensurate with your experience and qualification.
	reconcile with=仲直りする		He wants to be reconciled with his girlfriend.
	immune from=まぬがれる		The officer will be immune from prosecution.
	adept at=うまい		She is very adept at English.
	around the clock=24時間ぶっとおしで		The store is open around the clock.
	out of print=絶版		The book went out of print very quickly.
	at no time=決して～ない		At no time was he told about the danger of asbestos.
	in no time=すぐに		He solved the math problem in no time.
	on one's hands and knees=よつんばいになる		The woman is on her hands and knees.
	out of commission=使用不能の		My car is currently out of commission.
	all told=合計で		There were 40 participants, all told.
	at a stretch=たてつづけに		She worked for 14 hours at a stretch.
	on end=続けて		It's been raining for days on end.
	successive=連続する		The politician has won three successive elections.
UK	on offer=売りに出されている		A wide range of famous brands are on offer at reduced prices.
	aggravate=悪化させる		Consumption of a huge amount fossil fuels has aggravated global warming.
UK	excursion=遠足=field trip		There will be a whole school excursion on April 8.
	output=生産高		Most car companies plan to decrease their car output next year.
	remark=発言		The foreign minister apologized for his remarks about race.
	correspondent=特派員		The newspaper has five correspondents.
	correspondence=通信文		She maintained a long correspondence with her former professor.
	commission=手数料		He gets a 25 percent commission on his sales.
	deficit=赤字		The company went bankrupt with a deficit of approximately $2 million.
	undergo=経験する		The world economy is undergoing a serious recession.
	mount=実施する		The residents in the area are mounting a protest against the construction of the building.
	stage=実施する		The union will stage a strike tomorrow.
	prominent=著名な		Mr. Dawson is a prominent business leader.
	diligent=勤勉な		Sarah is very diligent in her work.
	prosperous=thriving=繫栄している		Sweden is one of the most prosperous countries in the world.
	distinguished=優れた		He was awarded a prize for his distinguished achievements in the field of journalism.
	utmost=最大の		He has the utmost respect for Abraham Lincoln.
	counterpart=相当するもの		This Japanese word has no counterpart in English.
	deregulation=規制緩和		More than 100 carriers have gone bankrupt since deregulation.
	courtesy=好意		Twenty Chinese students were invited to Japan by courtesy of the airline.
	circulation=発行部数		The magazine has a circulation of 200,000.
	profile=注目度		We have to increase our company's profile in China.
	endeavor=努力		We have to make our best endeavor to preserve the environment.
	proceeding=議事録		He looked through the proceedings of the annual conference
	convey=伝える、運ぶ		If you see Paul, please convey my regards to him.
	commence=開始する		The factory will commence production early next year.
	boast=誇りにしている		The city boasts beautiful beaches.
	prolong=延長する		He decided to prolong his stay in Tokyo for another week.
	plow=すきで耕す		Some people are plowing the land.
	salute=敬礼する		They are saluting the US flag.
	assert=断言する		She asserts that he stole money from her.
	tap=開発する		The area has the potential to tap solar energy.
	overtake=追い越す		It is said that India will overtake China in population.
	elaborate=精巧な		Elaborate ornamentation is characteristic of the Victorian style.
	abundant=豊富な		There is abundant evidence for the past presence of water on Mars.
	compulsory=義務的な		Attendance at the seminar is compulsory.
	concerned=関与している		The closure of the factory was a shock to all concerned.
	industrious=勤勉な		He is competent and industrious.
	prominently=目立つように		Family photographs were prominently displayed in his house.
	refrain from=abstain from=差し控える		Please refrain from using cellphones.
	come down with=かかる		Unfortunately, he has come down with the flu.
	abide by=従う		Every member company must abide by the code of ethics.
	make out=を作成する		To donate money, please make out a check to the Red Cross.
	look to=頼る		The world is looking to America to solve the economic crisis.
	turn to=求める		You can always turn to me for help.
	live up to=応える		The movie lived up to my expectations.
	attend to=処理する		We should attend to the problem immediately.
	by no means=far from=決して～ではない		This is by no means an easy decision to make.
	no doubt=probably=おそらく、疑いなく		She is no doubt the most talented artist in the group.
	put A through to B=Aの電話をBにつなぐ		Could you put me through to the sales department?
	commit A to B=AをBに委託する		The property was committed to his care.
	appropriate A for B=AをBのために充てる		Approximately $500 billion is appropriated for defense programs annually.
	load A with B=AにBを積む		They are loading the truck with furniture.
	clear A of B=AからBを取り除く		The man is clearing the road of snow.
	relieve A of B=AからBを取り除く		They are seeking ways to relieve the company of its massive debt.
	resolve to do=しようと決心する		She resolved to dedicate the rest of her life to charity work.
	regret to do=残念ながら～する		We regret to tell you that the product you ordered is temporarily out of stock.
	regret doing=したことを後悔する		I regret not telling her I loved her.
	scramble to do=しようと先を争う		Shoppers were scrambling to buy gifts.
	plead with A to do=Aにしてくれと訴える		He pleaded with his wife to come back.
	compel A to do=Aに無理やりさせる		The law compels parents to send their children to schools between the ages of 6 and 12.
	confine A to B=AをBに制限する		The use of controlled drugs is confined to medical and scientific purposes.
	be instrumental in=役立っている		The new traffic laws have been instrumental in reducing the number of traffic accidents.
UK	be keen on=熱中している		My father is keen on golf.
UK	be sited on=位置する		The company's head office is sited in Paris.
	be apt to do=しがちである		Children are apt to imitate the attitudes of their parents.
	be liable to do=しがちである、法的責任がある		People are liable to repeat the same mistakes.
	be slated to do=する予定である		The amusement park is slated to open this summer.
	be poised to do=する用意ができている		He is poised to take over the family business.
	have yet to do=まだしていない		The city council has yet to make a decision on the issue.
	make one's way=進む		She made her way through the crowd to the store entrance.
	be fussy about=be particular about=こだわる		She is very fussy about the quality of ingredients in her cooking.
	be comprised of=consist of=構成されている		The committee is comprised of experts from several different fields.
	by far=ずば抜けて		Nancy is by far the most intelligent student in the class.
	for a change=たまには		It's nice to read an optimistic article for a change.
	much less=let alone=まして、ではない		She can't make a sandwich, much less cook a meal.
	at any price=どんな犠牲を払ってでも		We must maintain the peace at any price.
	at the expense of=犠牲にして		He pursued his career at the expense of his family.
	by leaps and bounds=飛躍的に		The population of Internet users has grown by leaps and bounds.
	in force=有効で		The patent is in force until 2030.
	in light of=考慮して		We need to revise the policy in light of feedback from users.
	in keeping with=in accordance with=に従って		In keeping with tradition, players are required to wear all white tennis clothes.
	for want of=不足のために		The building of the mall has been stopped for want of funds.
	contingent=代表団		The contingent consists of managers of the country's major companies.
	arguably=間違いなく		He is arguably the greatest guitarist of his generation.
	garner attention=注目を集める		The artist's bold new painting quickly garnered attention from critics.
	sleuth=detective=探偵		An internet sleuth traced the location using clues from social media.
	topiary=トピアリー		The garden featured elaborate topiary shaped like animals and birds.
	tactile=触覚の、触知できる		The fabric has a soft, tactile surface that feels pleasant.
	Touche=Good point=Agreed		That’s a fair point. Touché!
	antidote=解毒剤		There is no antidote to this poison.
	tyranny=専制政治、暴政		My mother divorced my father after enduring twenty years of tyranny.
	espionage=スパイ活動		She was arrested for espionage during a covert operation.
	covert operation=秘密作戦		Sneaking snacks into the movie felt like a covert operation.
	corrosive =腐食性の		Saltwater has a corrosive effect on unprotected metal surfaces.
	そのスキャンダルは人々の信頼を損なった		The scandal had a corrosive effect on public trust.
	dissent=異議		Political dissent would no longer be tolerated.
	viscosity=粘性		Oil has a higher viscosity than water, making it flow slower.
	cuckold=妻が夫に不貞を働く		She decided to cuckold her husband with his business partner.
	fraternity=男子学生の社交クラブ		He joined a fraternity during his first year at college to make new friends.
	cleanse your palate=口の中をすっきりさせる		Try this sorbet to cleanse your palate between courses.
	clear one's name=汚名を晴らす		He provided evidence to clear his name after the accusation.
	proclamation=宣言		The company issued a proclamation about their commitment to sustainability.
	succinct=concise=briefly and clearly expressed		Her explanation was clear, concise, and succinct.
	indispensable=essential=absolutely necessary		Clean water is indispensable for human survival.
	impartial=unbiased=not supporting any of the sides involved in an argument		A judge must remain impartial when considering the evidence.
	thriftly=sparingly=frugally=ひかえめ=saving money / avoiding wasting it		She lives thriftly and avoids unnecessary expenses.
	windowpane=窓ガラス		A bird accidentally flew into the windowpane.
	windowsill=窓下枠		She placed the flowerpot on the windowsill.
	stool=背もたれのない椅子、う〇ち		He sat on a wooden stool while waiting.
	stool=背もたれのない椅子、う〇ち		The doctor examined a stool sample for signs of infection.
	burro=小型のロバ		The farmer loaded supplies onto his burro.
	corral=家畜用の囲い、herd=追い込む		They herded the cattle into the corral.
	vase=花瓶（英・豪の発音注意）		She placed fresh flowers in a glass vase.
	podium=演壇		She proudly stood on the podium after winning the race.
	instrument=楽器		She learned to play the violin, her favorite musical instrument.
	doorway=戸口		She stood quietly in the doorway.
	hallway=corridor=廊下、通路		The children ran noisily down the hallway after lunch.
	pillar=column=柱		The ancient temple had massive stone pillars supporting its roof.
	cupboard=食器棚（発音注意）		The cupboard door has been opened.
	produce=農産物		The farmers sell fresh produce at the local market every weekend.
	groceries=食料品		I stopped by the supermarket to buy some groceries.
	crate=運搬用のケース		The farmer carried a heavy crate filled with fresh apples.
	square=plaza=広場		The town square was crowded with people enjoying the sunny afternoon.
	archway=アーチ形の入り口		We walked through the stone archway into the beautiful old garden.
	courtyard=中庭		The hotel has a peaceful courtyard surrounded by colorful flowers.
	patio=テラス		We enjoyed our morning coffee together on the sunny patio.
	canopy=テント、日よけ		We waited under the canopy while heavy rain poured outside.
	awning=日よけ		The cafe installed a new awning to shade customers from the sun.
	spectator=観客		Every spectator cheered loudly when the player scored the winning goal.
	pavement=sidewalk=歩道		She slipped on the wet pavement while walking home.
	curb=縁石		He carefully parked his car beside the curb.
	lamppost=街灯柱		He had hit a lamppost when he lost control of the van.
	broom=ほうき		She grabbed a broom and swept the kitchen floor.
	scaffolding=工事現場の足場		We'll need to add more scaffolding to make it safe.
	body of water=川、海、湖		The hikers stopped beside a beautiful body of water.
	vessel=ship=船		The cargo vessel slowly entered the harbor before sunrise.
	dock =船着き場		The ship remained at the dock while workers unloaded its cargo.
	pier=桟橋		We walked along the pier and watched boats entering the harbor.
	案内係、出席者、出席		attendant / attendee / attendance
	入居者、職業、稼働率		occupant / occupation / occupancy
	採用担当者、新入社員、採用		recruiter / recruit / recruitment
	production facility=生産施設		The company built a new production facility near the city.
	distribution center=物流センター		The company operates a large distribution center near the highway.
	opt to do=することを選ぶ		She opted to walk home instead of taking the bus.
	strive to do=しようと努める		We must strive to understand different perspectives before making decisions.
	anticipate doing=することを予期する		I anticipate meeting many interesting people during my trip.
	owing to=on account of=～が原因で		The flight was delayed owing to severe weather conditions.
	notwithstanding=regardless of=にもかかわらず、に関係なく		Notwithstanding the rain, the festival continued as planned.
	願い事には気を付けて		Be careful what you wish for; you might actually get it.
	vigilant=用心深く		Drivers should remain vigilant when approaching busy intersections.
	vigilante=自警団		The vigilante patrolled the neighborhood at night, seeking criminals.
	antimony=錫（スズ）		Antimony is a brittle metalloid used in various industrial applications.
	diptych=ディプティク		The exhibition featured a diptych depicting two contrasting scenes.
	autocratic=独裁的な		The country was ruled by an autocratic leader.
	succumb=倒れる		The old tree eventually succumbed to the severe drought.
	derogatory=侮辱的な		His derogatory comments offended several people.
	contribute=貢献する、寄付する、寄稿する		Ten scientists contributed to the special edition of the journal.
	contribute to=～の一因となる		Smoking contributed to his early death.
	reservation=予約、懸念		I have no reservations about hiring him.
	shrew=敏腕な		He is a shrewed and resourceful manager.
	forge=結ぶ		The two companies forged a strategic alliance last year.
	lessen=緩和する		Strengthening trade ties will lessen international tensions.
	new listing=新規上場		There was a sizable increase in new listings.
	plaintiff=原告		The plaintiff claimed damages for the financial losses suffered through breach of copyright.
	serpent=大蛇		The serpent moved silently through the grass.
	makeshift=その場しのぎの		They built a makeshift shelter using some wooden boards.
	peace accord=和平合意		The two countries finally signed a peace accord.
	get by=やりくりする		Despite the low salary, they manage to get by.
	conceive=思いつく		She conceived a clever solution to the problem.
	trade conflict=貿易摩擦		The trade conflict disrupted businesses in both countries.
	immense=enormous=巨大な		The project required an immense amount of time and effort.
	paean=賛美		The speech was a paean to freedom and democracy.
	bougie=bourgeois=高級な		She bought a bougie apartment in the city center.
	splurge=散財する		They were splurging on expensive meals during their vacation.
	clemency=恩赦		The governor granted clemency to the prisoner after years of appeals.
